t1NgramSize,t2NgramSize,t3NgramSize,QRPercentileOrig,QRPercentileT1,QRPercentileT2,QRPercentileT3,map
4,4,4,2,2,2,2,0.976296182
4,4,4,4,4,4,4,0.952311264
4,4,4,6,6,6,6,0.937692764
4,4,4,8,8,8,8,0.918443001
4,4,4,10,10,10,10,0.961871061
4,4,8,2,2,2,2,0.974672965
4,4,8,4,4,4,4,0.948204086
4,4,8,6,6,6,6,0.9382532
4,4,8,8,8,8,8,0.927972794
4,4,8,10,10,10,10,0.963399978
4,4,12,2,2,2,2,0.97162489
4,4,12,4,4,4,4,0.955227103
4,4,12,6,6,6,6,0.947022293
4,4,12,8,8,8,8,0.94335551
4,4,12,10,10,10,10,0.965878249
4,4,16,2,2,2,2,0.972326547
4,4,16,4,4,4,4,0.956790373
4,4,16,6,6,6,6,0.944750527
4,4,16,8,8,8,8,0.942112495
4,4,16,10,10,10,10,0.963701787
4,4,20,2,2,2,2,0.971144415
4,4,20,4,4,4,4,0.956882
4,4,20,6,6,6,6,0.945872255
4,4,20,8,8,8,8,0.944301688
4,4,20,10,10,10,10,0.965507714
4,4,24,2,2,2,2,0.970241209
4,4,24,4,4,4,4,0.958728842
4,4,24,6,6,6,6,0.946229545
4,4,24,8,8,8,8,0.945654278
4,4,24,10,10,10,10,0.96549908
4,8,4,2,2,2,2,0.987813459
4,8,4,4,4,4,4,0.976894838
4,8,4,6,6,6,6,0.956042527
4,8,4,8,8,8,8,0.951479896
4,8,4,10,10,10,10,0.966814154
4,8,8,2,2,2,2,0.986237033
4,8,8,4,4,4,4,0.972273205
4,8,8,6,6,6,6,0.952117845
4,8,8,8,8,8,8,0.950913882
4,8,8,10,10,10,10,0.964222256
4,8,12,2,2,2,2,0.985728053
4,8,12,4,4,4,4,0.972639622
4,8,12,6,6,6,6,0.956399398
4,8,12,8,8,8,8,0.951349642
4,8,12,10,10,10,10,0.964237136
4,8,16,2,2,2,2,0.983814669
4,8,16,4,4,4,4,0.974677566
4,8,16,6,6,6,6,0.956831932
4,8,16,8,8,8,8,0.950524949
4,8,16,10,10,10,10,0.963700186
4,8,20,2,2,2,2,0.984282332
4,8,20,4,4,4,4,0.97470669
4,8,20,6,6,6,6,0.959097761
4,8,20,8,8,8,8,0.954304784
4,8,20,10,10,10,10,0.966174235
4,8,24,2,2,2,2,0.984887344
4,8,24,4,4,4,4,0.97659425
4,8,24,6,6,6,6,0.961617452
4,8,24,8,8,8,8,0.957439714
4,8,24,10,10,10,10,0.968445948
4,12,4,2,2,2,2,0.989338667
4,12,4,4,4,4,4,0.98560723
4,12,4,6,6,6,6,0.968889632
4,12,4,8,8,8,8,0.961430476
4,12,4,10,10,10,10,0.969025705
4,12,8,2,2,2,2,0.988891445
4,12,8,4,4,4,4,0.981355883
4,12,8,6,6,6,6,0.965531741
4,12,8,8,8,8,8,0.959350011
4,12,8,10,10,10,10,0.967780945
4,12,12,2,2,2,2,0.987680298
4,12,12,4,4,4,4,0.980153755
4,12,12,6,6,6,6,0.963759519
4,12,12,8,8,8,8,0.956259507
4,12,12,10,10,10,10,0.966155186
4,12,16,2,2,2,2,0.987680298
4,12,16,4,4,4,4,0.980011763
4,12,16,6,6,6,6,0.964898321
4,12,16,8,8,8,8,0.953718238
4,12,16,10,10,10,10,0.965229747
4,12,20,2,2,2,2,0.987976701
4,12,20,4,4,4,4,0.981125613
4,12,20,6,6,6,6,0.966240213
4,12,20,8,8,8,8,0.960143634
4,12,20,10,10,10,10,0.968440732
4,12,24,2,2,2,2,0.988180309
4,12,24,4,4,4,4,0.983949573
4,12,24,6,6,6,6,0.967624257
4,12,24,8,8,8,8,0.963984755
4,12,24,10,10,10,10,0.97020094
4,16,4,2,2,2,2,0.995048515
4,16,4,4,4,4,4,0.990961328
4,16,4,6,6,6,6,0.981664051
4,16,4,8,8,8,8,0.973280833
4,16,4,10,10,10,10,0.974039003
4,16,8,2,2,2,2,0.994775872
4,16,8,4,4,4,4,0.988242455
4,16,8,6,6,6,6,0.976740402
4,16,8,8,8,8,8,0.967691912
4,16,8,10,10,10,10,0.972145344
4,16,12,2,2,2,2,0.994388992
4,16,12,4,4,4,4,0.988515748
4,16,12,6,6,6,6,0.975796735
4,16,12,8,8,8,8,0.966746161
4,16,12,10,10,10,10,0.96912789
4,16,16,2,2,2,2,0.994086972
4,16,16,4,4,4,4,0.989687465
4,16,16,6,6,6,6,0.975423681
4,16,16,8,8,8,8,0.965126553
4,16,16,10,10,10,10,0.968843417
4,16,20,2,2,2,2,0.993688137
4,16,20,4,4,4,4,0.99037709
4,16,20,6,6,6,6,0.975890553
4,16,20,8,8,8,8,0.969582731
4,16,20,10,10,10,10,0.971560271
4,16,24,2,2,2,2,0.994358014
4,16,24,4,4,4,4,0.990621534
4,16,24,6,6,6,6,0.976383482
4,16,24,8,8,8,8,0.969473038
4,16,24,10,10,10,10,0.97507878
4,20,4,2,2,2,2,0.995627556
4,20,4,4,4,4,4,0.992342411
4,20,4,6,6,6,6,0.983613149
4,20,4,8,8,8,8,0.97878446
4,20,4,10,10,10,10,0.980657139
4,20,8,2,2,2,2,0.995354912
4,20,8,4,4,4,4,0.991270088
4,20,8,6,6,6,6,0.981737666
4,20,8,8,8,8,8,0.974797651
4,20,8,10,10,10,10,0.976348683
4,20,12,2,2,2,2,0.995242275
4,20,12,4,4,4,4,0.99130822
4,20,12,6,6,6,6,0.981341451
4,20,12,8,8,8,8,0.972548968
4,20,12,10,10,10,10,0.97197151
4,20,16,2,2,2,2,0.995354912
4,20,16,4,4,4,4,0.991862948
4,20,16,6,6,6,6,0.982207185
4,20,16,8,8,8,8,0.97320958
4,20,16,10,10,10,10,0.974679255
4,20,20,2,2,2,2,0.994987055
4,20,20,4,4,4,4,0.991437191
4,20,20,6,6,6,6,0.983695927
4,20,20,8,8,8,8,0.977114467
4,20,20,10,10,10,10,0.980689286
4,20,24,2,2,2,2,0.995354912
4,20,24,4,4,4,4,0.991649059
4,20,24,6,6,6,6,0.983710577
4,20,24,8,8,8,8,0.981521869
4,20,24,10,10,10,10,0.981375985
4,24,4,2,2,2,2,0.996373959
4,24,4,4,4,4,4,0.993883206
4,24,4,6,6,6,6,0.984758479
4,24,4,8,8,8,8,0.981952794
4,24,4,10,10,10,10,0.98265888
4,24,8,2,2,2,2,0.996656749
4,24,8,4,4,4,4,0.992319078
4,24,8,6,6,6,6,0.983480518
4,24,8,8,8,8,8,0.977563141
4,24,8,10,10,10,10,0.978805205
4,24,12,2,2,2,2,0.996034588
4,24,12,4,4,4,4,0.992884987
4,24,12,6,6,6,6,0.982839936
4,24,12,8,8,8,8,0.976351207
4,24,12,10,10,10,10,0.976699875
4,24,16,2,2,2,2,0.995354912
4,24,16,4,4,4,4,0.99340714
4,24,16,6,6,6,6,0.984113485
4,24,16,8,8,8,8,0.97618315
4,24,16,10,10,10,10,0.976848791
4,24,20,2,2,2,2,0.995354912
4,24,20,4,4,4,4,0.992775322
4,24,20,6,6,6,6,0.98472703
4,24,20,8,8,8,8,0.982979163
4,24,20,10,10,10,10,0.982275985
4,24,24,2,2,2,2,0.994987055
4,24,24,4,4,4,4,0.993029734
4,24,24,6,6,6,6,0.985363979
4,24,24,8,8,8,8,0.984705989
4,24,24,10,10,10,10,0.9850326
8,4,4,2,2,2,2,0.976296182
8,4,4,4,4,4,4,0.952311264
8,4,4,6,6,6,6,0.937692764
8,4,4,8,8,8,8,0.918443001
8,4,4,10,10,10,10,0.961871061
8,4,8,2,2,2,2,0.974672965
8,4,8,4,4,4,4,0.948204086
8,4,8,6,6,6,6,0.9382532
8,4,8,8,8,8,8,0.927972794
8,4,8,10,10,10,10,0.963399978
8,4,12,2,2,2,2,0.97162489
8,4,12,4,4,4,4,0.955227103
8,4,12,6,6,6,6,0.947022293
8,4,12,8,8,8,8,0.94335551
8,4,12,10,10,10,10,0.965878249
8,4,16,2,2,2,2,0.972326547
8,4,16,4,4,4,4,0.956790373
8,4,16,6,6,6,6,0.944750527
8,4,16,8,8,8,8,0.942112495
8,4,16,10,10,10,10,0.963701787
8,4,20,2,2,2,2,0.971144415
8,4,20,4,4,4,4,0.956882
8,4,20,6,6,6,6,0.945872255
8,4,20,8,8,8,8,0.944301688
8,4,20,10,10,10,10,0.965507714
8,4,24,2,2,2,2,0.970241209
8,4,24,4,4,4,4,0.958728842
8,4,24,6,6,6,6,0.946229545
8,4,24,8,8,8,8,0.945654278
8,4,24,10,10,10,10,0.96549908
8,8,4,2,2,2,2,0.987813459
8,8,4,4,4,4,4,0.976894838
8,8,4,6,6,6,6,0.956042527
8,8,4,8,8,8,8,0.951479896
8,8,4,10,10,10,10,0.966814154
8,8,8,2,2,2,2,0.986237033
8,8,8,4,4,4,4,0.972273205
8,8,8,6,6,6,6,0.952117845
8,8,8,8,8,8,8,0.950913882
8,8,8,10,10,10,10,0.964222256
8,8,12,2,2,2,2,0.985728053
8,8,12,4,4,4,4,0.972639622
8,8,12,6,6,6,6,0.956399398
8,8,12,8,8,8,8,0.951349642
8,8,12,10,10,10,10,0.964237136
8,8,16,2,2,2,2,0.983814669
8,8,16,4,4,4,4,0.974677566
8,8,16,6,6,6,6,0.956831932
8,8,16,8,8,8,8,0.950524949
8,8,16,10,10,10,10,0.963700186
8,8,20,2,2,2,2,0.984282332
8,8,20,4,4,4,4,0.97470669
8,8,20,6,6,6,6,0.959097761
8,8,20,8,8,8,8,0.954304784
8,8,20,10,10,10,10,0.966174235
8,8,24,2,2,2,2,0.984887344
8,8,24,4,4,4,4,0.97659425
8,8,24,6,6,6,6,0.961617452
8,8,24,8,8,8,8,0.957439714
8,8,24,10,10,10,10,0.968445948
8,12,4,2,2,2,2,0.989338667
8,12,4,4,4,4,4,0.98560723
8,12,4,6,6,6,6,0.968889632
8,12,4,8,8,8,8,0.961430476
8,12,4,10,10,10,10,0.969025705
8,12,8,2,2,2,2,0.988891445
8,12,8,4,4,4,4,0.981355883
8,12,8,6,6,6,6,0.965531741
8,12,8,8,8,8,8,0.959350011
8,12,8,10,10,10,10,0.967780945
8,12,12,2,2,2,2,0.987680298
8,12,12,4,4,4,4,0.980153755
8,12,12,6,6,6,6,0.963759519
8,12,12,8,8,8,8,0.956259507
8,12,12,10,10,10,10,0.966155186
8,12,16,2,2,2,2,0.987680298
8,12,16,4,4,4,4,0.980011763
8,12,16,6,6,6,6,0.964898321
8,12,16,8,8,8,8,0.953718238
8,12,16,10,10,10,10,0.965229747
8,12,20,2,2,2,2,0.987976701
8,12,20,4,4,4,4,0.981125613
8,12,20,6,6,6,6,0.966240213
8,12,20,8,8,8,8,0.960143634
8,12,20,10,10,10,10,0.968440732
8,12,24,2,2,2,2,0.988180309
8,12,24,4,4,4,4,0.983949573
8,12,24,6,6,6,6,0.967624257
8,12,24,8,8,8,8,0.963984755
8,12,24,10,10,10,10,0.97020094
8,16,4,2,2,2,2,0.995048515
8,16,4,4,4,4,4,0.990961328
8,16,4,6,6,6,6,0.981664051
8,16,4,8,8,8,8,0.973280833
8,16,4,10,10,10,10,0.974039003
8,16,8,2,2,2,2,0.994775872
8,16,8,4,4,4,4,0.988242455
8,16,8,6,6,6,6,0.976740402
8,16,8,8,8,8,8,0.967691912
8,16,8,10,10,10,10,0.972145344
8,16,12,2,2,2,2,0.994388992
8,16,12,4,4,4,4,0.988515748
8,16,12,6,6,6,6,0.975796735
8,16,12,8,8,8,8,0.966746161
8,16,12,10,10,10,10,0.96912789
8,16,16,2,2,2,2,0.994086972
8,16,16,4,4,4,4,0.989687465
8,16,16,6,6,6,6,0.975423681
8,16,16,8,8,8,8,0.965126553
8,16,16,10,10,10,10,0.968843417
8,16,20,2,2,2,2,0.993688137
8,16,20,4,4,4,4,0.99037709
8,16,20,6,6,6,6,0.975890553
8,16,20,8,8,8,8,0.969582731
8,16,20,10,10,10,10,0.971560271
8,16,24,2,2,2,2,0.994358014
8,16,24,4,4,4,4,0.990621534
8,16,24,6,6,6,6,0.976383482
8,16,24,8,8,8,8,0.969473038
8,16,24,10,10,10,10,0.97507878
8,20,4,2,2,2,2,0.995627556
8,20,4,4,4,4,4,0.992342411
8,20,4,6,6,6,6,0.983613149
8,20,4,8,8,8,8,0.97878446
8,20,4,10,10,10,10,0.980657139
8,20,8,2,2,2,2,0.995354912
8,20,8,4,4,4,4,0.991270088
8,20,8,6,6,6,6,0.981737666
8,20,8,8,8,8,8,0.974797651
8,20,8,10,10,10,10,0.976348683
8,20,12,2,2,2,2,0.995242275
8,20,12,4,4,4,4,0.99130822
8,20,12,6,6,6,6,0.981341451
8,20,12,8,8,8,8,0.972548968
8,20,12,10,10,10,10,0.97197151
8,20,16,2,2,2,2,0.995354912
8,20,16,4,4,4,4,0.991862948
8,20,16,6,6,6,6,0.982207185
8,20,16,8,8,8,8,0.97320958
8,20,16,10,10,10,10,0.974679255
8,20,20,2,2,2,2,0.994987055
8,20,20,4,4,4,4,0.991437191
8,20,20,6,6,6,6,0.983695927
8,20,20,8,8,8,8,0.977114467
8,20,20,10,10,10,10,0.980689286
8,20,24,2,2,2,2,0.995354912
8,20,24,4,4,4,4,0.991649059
8,20,24,6,6,6,6,0.983710577
8,20,24,8,8,8,8,0.981521869
8,20,24,10,10,10,10,0.981375985
8,24,4,2,2,2,2,0.996373959
8,24,4,4,4,4,4,0.993883206
8,24,4,6,6,6,6,0.984758479
8,24,4,8,8,8,8,0.981952794
8,24,4,10,10,10,10,0.98265888
8,24,8,2,2,2,2,0.996656749
8,24,8,4,4,4,4,0.992319078
8,24,8,6,6,6,6,0.983480518
8,24,8,8,8,8,8,0.977563141
8,24,8,10,10,10,10,0.978805205
8,24,12,2,2,2,2,0.996034588
8,24,12,4,4,4,4,0.992884987
8,24,12,6,6,6,6,0.982839936
8,24,12,8,8,8,8,0.976351207
8,24,12,10,10,10,10,0.976699875
8,24,16,2,2,2,2,0.995354912
8,24,16,4,4,4,4,0.99340714
8,24,16,6,6,6,6,0.984113485
8,24,16,8,8,8,8,0.97618315
8,24,16,10,10,10,10,0.976848791
8,24,20,2,2,2,2,0.995354912
8,24,20,4,4,4,4,0.992775322
8,24,20,6,6,6,6,0.98472703
8,24,20,8,8,8,8,0.982979163
8,24,20,10,10,10,10,0.982275985
8,24,24,2,2,2,2,0.994987055
8,24,24,4,4,4,4,0.993029734
8,24,24,6,6,6,6,0.985363979
8,24,24,8,8,8,8,0.984705989
8,24,24,10,10,10,10,0.9850326
12,4,4,2,2,2,2,0.976296182
12,4,4,4,4,4,4,0.952311264
12,4,4,6,6,6,6,0.937692764
12,4,4,8,8,8,8,0.918443001
12,4,4,10,10,10,10,0.961871061
12,4,8,2,2,2,2,0.974672965
12,4,8,4,4,4,4,0.948204086
12,4,8,6,6,6,6,0.9382532
12,4,8,8,8,8,8,0.927972794
12,4,8,10,10,10,10,0.963399978
12,4,12,2,2,2,2,0.97162489
12,4,12,4,4,4,4,0.955227103
12,4,12,6,6,6,6,0.947022293
12,4,12,8,8,8,8,0.94335551
12,4,12,10,10,10,10,0.965878249
12,4,16,2,2,2,2,0.972326547
12,4,16,4,4,4,4,0.956790373
12,4,16,6,6,6,6,0.944750527
12,4,16,8,8,8,8,0.942112495
12,4,16,10,10,10,10,0.963701787
12,4,20,2,2,2,2,0.971144415
12,4,20,4,4,4,4,0.956882
12,4,20,6,6,6,6,0.945872255
12,4,20,8,8,8,8,0.944301688
12,4,20,10,10,10,10,0.965507714
12,4,24,2,2,2,2,0.970241209
12,4,24,4,4,4,4,0.958728842
12,4,24,6,6,6,6,0.946229545
12,4,24,8,8,8,8,0.945654278
12,4,24,10,10,10,10,0.96549908
12,8,4,2,2,2,2,0.987813459
12,8,4,4,4,4,4,0.976894838
12,8,4,6,6,6,6,0.956042527
12,8,4,8,8,8,8,0.951479896
12,8,4,10,10,10,10,0.966814154
12,8,8,2,2,2,2,0.986237033
12,8,8,4,4,4,4,0.972273205
12,8,8,6,6,6,6,0.952117845
12,8,8,8,8,8,8,0.950913882
12,8,8,10,10,10,10,0.964222256
12,8,12,2,2,2,2,0.985728053
12,8,12,4,4,4,4,0.972639622
12,8,12,6,6,6,6,0.956399398
12,8,12,8,8,8,8,0.951349642
12,8,12,10,10,10,10,0.964237136
12,8,16,2,2,2,2,0.983814669
12,8,16,4,4,4,4,0.974677566
12,8,16,6,6,6,6,0.956831932
12,8,16,8,8,8,8,0.950524949
12,8,16,10,10,10,10,0.963700186
12,8,20,2,2,2,2,0.984282332
12,8,20,4,4,4,4,0.97470669
12,8,20,6,6,6,6,0.959097761
12,8,20,8,8,8,8,0.954304784
12,8,20,10,10,10,10,0.966174235
12,8,24,2,2,2,2,0.984887344
12,8,24,4,4,4,4,0.97659425
12,8,24,6,6,6,6,0.961617452
12,8,24,8,8,8,8,0.957439714
12,8,24,10,10,10,10,0.968445948
12,12,4,2,2,2,2,0.989338667
12,12,4,4,4,4,4,0.98560723
12,12,4,6,6,6,6,0.968889632
12,12,4,8,8,8,8,0.961430476
12,12,4,10,10,10,10,0.969025705
12,12,8,2,2,2,2,0.988891445
12,12,8,4,4,4,4,0.981355883
12,12,8,6,6,6,6,0.965531741
12,12,8,8,8,8,8,0.959350011
12,12,8,10,10,10,10,0.967780945
12,12,12,2,2,2,2,0.987680298
12,12,12,4,4,4,4,0.980153755
12,12,12,6,6,6,6,0.963759519
12,12,12,8,8,8,8,0.956259507
12,12,12,10,10,10,10,0.966155186
12,12,16,2,2,2,2,0.987680298
12,12,16,4,4,4,4,0.980011763
12,12,16,6,6,6,6,0.964898321
12,12,16,8,8,8,8,0.953718238
12,12,16,10,10,10,10,0.965229747
12,12,20,2,2,2,2,0.987976701
12,12,20,4,4,4,4,0.981125613
12,12,20,6,6,6,6,0.966240213
12,12,20,8,8,8,8,0.960143634
12,12,20,10,10,10,10,0.968440732
12,12,24,2,2,2,2,0.988180309
12,12,24,4,4,4,4,0.983949573
12,12,24,6,6,6,6,0.967624257
12,12,24,8,8,8,8,0.963984755
12,12,24,10,10,10,10,0.97020094
12,16,4,2,2,2,2,0.995048515
12,16,4,4,4,4,4,0.990961328
12,16,4,6,6,6,6,0.981664051
12,16,4,8,8,8,8,0.973280833
12,16,4,10,10,10,10,0.974039003
12,16,8,2,2,2,2,0.994775872
12,16,8,4,4,4,4,0.988242455
12,16,8,6,6,6,6,0.976740402
12,16,8,8,8,8,8,0.967691912
12,16,8,10,10,10,10,0.972145344
12,16,12,2,2,2,2,0.994388992
12,16,12,4,4,4,4,0.988515748
12,16,12,6,6,6,6,0.975796735
12,16,12,8,8,8,8,0.966746161
12,16,12,10,10,10,10,0.96912789
12,16,16,2,2,2,2,0.994086972
12,16,16,4,4,4,4,0.989687465
12,16,16,6,6,6,6,0.975423681
12,16,16,8,8,8,8,0.965126553
12,16,16,10,10,10,10,0.968843417
12,16,20,2,2,2,2,0.993688137
12,16,20,4,4,4,4,0.99037709
12,16,20,6,6,6,6,0.975890553
12,16,20,8,8,8,8,0.969582731
12,16,20,10,10,10,10,0.971560271
12,16,24,2,2,2,2,0.994358014
12,16,24,4,4,4,4,0.990621534
12,16,24,6,6,6,6,0.976383482
12,16,24,8,8,8,8,0.969473038
12,16,24,10,10,10,10,0.97507878
12,20,4,2,2,2,2,0.995627556
12,20,4,4,4,4,4,0.992342411
12,20,4,6,6,6,6,0.983613149
12,20,4,8,8,8,8,0.97878446
12,20,4,10,10,10,10,0.980657139
12,20,8,2,2,2,2,0.995354912
12,20,8,4,4,4,4,0.991270088
12,20,8,6,6,6,6,0.981737666
12,20,8,8,8,8,8,0.974797651
12,20,8,10,10,10,10,0.976348683
12,20,12,2,2,2,2,0.995242275
12,20,12,4,4,4,4,0.99130822
12,20,12,6,6,6,6,0.981341451
12,20,12,8,8,8,8,0.972548968
12,20,12,10,10,10,10,0.97197151
12,20,16,2,2,2,2,0.995354912
12,20,16,4,4,4,4,0.991862948
12,20,16,6,6,6,6,0.982207185
12,20,16,8,8,8,8,0.97320958
12,20,16,10,10,10,10,0.974679255
12,20,20,2,2,2,2,0.994987055
12,20,20,4,4,4,4,0.991437191
12,20,20,6,6,6,6,0.983695927
12,20,20,8,8,8,8,0.977114467
12,20,20,10,10,10,10,0.980689286
12,20,24,2,2,2,2,0.995354912
12,20,24,4,4,4,4,0.991649059
12,20,24,6,6,6,6,0.983710577
12,20,24,8,8,8,8,0.981521869
12,20,24,10,10,10,10,0.981375985
12,24,4,2,2,2,2,0.996373959
12,24,4,4,4,4,4,0.993883206
12,24,4,6,6,6,6,0.984758479
12,24,4,8,8,8,8,0.981952794
12,24,4,10,10,10,10,0.98265888
12,24,8,2,2,2,2,0.996656749
12,24,8,4,4,4,4,0.992319078
12,24,8,6,6,6,6,0.983480518
12,24,8,8,8,8,8,0.977563141
12,24,8,10,10,10,10,0.978805205
12,24,12,2,2,2,2,0.996034588
12,24,12,4,4,4,4,0.992884987
12,24,12,6,6,6,6,0.982839936
12,24,12,8,8,8,8,0.976351207
12,24,12,10,10,10,10,0.976699875
12,24,16,2,2,2,2,0.995354912
12,24,16,4,4,4,4,0.99340714
12,24,16,6,6,6,6,0.984113485
12,24,16,8,8,8,8,0.97618315
12,24,16,10,10,10,10,0.976848791
12,24,20,2,2,2,2,0.995354912
12,24,20,4,4,4,4,0.992775322
12,24,20,6,6,6,6,0.98472703
12,24,20,8,8,8,8,0.982979163
12,24,20,10,10,10,10,0.982275985
12,24,24,2,2,2,2,0.994987055
12,24,24,4,4,4,4,0.993029734
12,24,24,6,6,6,6,0.985363979
12,24,24,8,8,8,8,0.984705989
12,24,24,10,10,10,10,0.9850326
16,4,4,2,2,2,2,0.976296182
16,4,4,4,4,4,4,0.952311264
16,4,4,6,6,6,6,0.937692764
16,4,4,8,8,8,8,0.918443001
